CurrPricePershare,ActualInvestedAmount,VirtualInvestedAmount,CurrentPortfolioVAlue,tax,profit_loss,PAT 
230, 1811975, 4017043.75, 3444250, 0, 1632275, 1632275
231, 1811975, 4017043.75, 3459225, 0, 1647250, 1647250
232, 1811975, 4017043.75, 3474200, 0, 1662225, 1662225
233, 1811975, 4017043.75, 3489175, 0, 1677200, 1677200
234, 1811975, 4017043.75, 3504150, 0, 1692175, 1692175
235, 1811975, 4017043.75, 3519125, 0, 1707150, 1707150
236, 1811975, 4017043.75, 3534100, 0, 1722125, 1722125
237, 1811975, 4017043.75, 3549075, 0, 1737100, 1737100
238, 1811975, 4017043.75, 3564050, 0, 1752075, 1752075
239, 1811975, 4017043.75, 3579025, 0, 1767050, 1767050
240, 1811975, 4017043.75, 3594000, 0, 1782025, 1782025
241, 1811975, 4017043.75, 3608975, 0, 1797000, 1797000
242, 1811975, 4017043.75, 3623950, 0, 1811975, 1811975
243, 1811975, 4017043.75, 3638925, 0, 1826950, 1826950
244, 1811975, 4017043.75, 3653900, 0, 1841925, 1841925
245, 1811975, 4017043.75, 3668875, 0, 1856900, 1856900
246, 1811975, 4017043.75, 3683850, 0, 1871875, 1871875
247, 1811975, 4017043.75, 3698825, 0, 1886850, 1886850
248, 1811975, 4017043.75, 3713800, 0, 1901825, 1901825
249, 1811975, 4017043.75, 3728775, 0, 1916800, 1916800
250, 1811975, 4017043.75, 3743750, 0, 1931775, 1931775
251, 1811975, 4017043.75, 3758725, 0, 1946750, 1946750
252, 1811975, 4017043.75, 3773700, 0, 1961725, 1961725
253, 1811975, 4017043.75, 3788675, 0, 1976700, 1976700
254, 1811975, 4017043.75, 3803650, 0, 1991675, 1991675
255, 1811975, 4017043.75, 3818625, 0, 2006650, 2006650
256, 1811975, 4017043.75, 3833600, 0, 2021625, 2021625
257, 1811975, 4017043.75, 3848575, 0, 2036600, 2036600
258, 1811975, 4017043.75, 3863550, 0, 2051575, 2051575
259, 1811975, 4017043.75, 3878525, 0, 2066550, 2066550
260, 1811975, 4017043.75, 3893500, 0, 2081525, 2081525
261, 1811975, 4017043.75, 3908475, 0, 2096500, 2096500
262, 1811975, 4017043.75, 3923450, 0, 2111475, 2111475
263, 1811975, 4017043.75, 3938425, 0, 2126450, 2126450
264, 1811975, 4017043.75, 3953400, 0, 2141425, 2141425
265, 1811975, 4017043.75, 3968375, 0, 2156400, 2156400
266, 1811975, 4017043.75, 3983350, 0, 2171375, 2171375
267, 1811975, 4017043.75, 3998325, 0, 2186350, 2186350
268, 1811975, 4017043.75, 4013300, 0, 2201325, 2201325
269, 1811975, 4017043.75, 4028275, 2246.25, 2216300, 2214053.75
270, 1811975, 4017043.75, 4043250, 5241.25, 2231275, 2226033.75
271, 1811975, 4017043.75, 4058225, 8236.25, 2246250, 2238013.75
272, 1811975, 4017043.75, 4073200, 11231.25, 2261225, 2249993.75
273, 1811975, 4017043.75, 4088175, 14226.25, 2276200, 2261973.75
274, 1811975, 4017043.75, 4103150, 17221.25, 2291175, 2273953.75
275, 1811975, 4017043.75, 4118125, 20216.25, 2306150, 2285933.75
276, 1811975, 4017043.75, 4133100, 23211.25, 2321125, 2297913.75
277, 1811975, 4017043.75, 4148075, 26206.25, 2336100, 2309893.75
278, 1811975, 4017043.75, 4163050, 29201.25, 2351075, 2321873.75
279, 1811975, 4017043.75, 4178025, 32196.25, 2366050, 2333853.75
280, 1811975, 4017043.75, 4193000, 35191.25, 2381025, 2345833.75
281, 1811975, 4017043.75, 4207975, 38186.25, 2396000, 2357813.75
282, 1811975, 4017043.75, 4222950, 41181.25, 2410975, 2369793.75
283, 1811975, 4017043.75, 4237925, 44176.25, 2425950, 2381773.75
284, 1811975, 4017043.75, 4252900, 47171.25, 2440925, 2393753.75
285, 1811975, 4017043.75, 4267875, 50166.25, 2455900, 2405733.75
286, 1811975, 4017043.75, 4282850, 53161.25, 2470875, 2417713.75
287, 1811975, 4017043.75, 4297825, 56156.25, 2485850, 2429693.75
288, 1811975, 4017043.75, 4312800, 59151.25, 2500825, 2441673.75
289, 1811975, 4017043.75, 4327775, 62146.25, 2515800, 2453653.75
290, 1811975, 4017043.75, 4342750, 65141.25, 2530775, 2465633.75
291, 1811975, 4017043.75, 4357725, 68136.25, 2545750, 2477613.75
292, 1811975, 4017043.75, 4372700, 71131.25, 2560725, 2489593.75
293, 1811975, 4017043.75, 4387675, 74126.25, 2575700, 2501573.75
294, 1811975, 4017043.75, 4402650, 77121.25, 2590675, 2513553.75
295, 1811975, 4017043.75, 4417625, 80116.25, 2605650, 2525533.75
296, 1811975, 4017043.75, 4432600, 83111.25, 2620625, 2537513.75
297, 1811975, 4017043.75, 4447575, 86106.25, 2635600, 2549493.75
298, 1811975, 4017043.75, 4462550, 89101.25, 2650575, 2561473.75
299, 1811975, 4017043.75, 4477525, 92096.25, 2665550, 2573453.75
300, 1811975, 4017043.75, 4492500, 95091.25, 2680525, 2585433.75
